Region, Population
Northland,164700
Auckland,1493200
Waikato,424600
Bay of Plenty,279700
Gisborne,47000
Hawke's Bay,158000
Taranaki,113600
Manawatu-Wanganui,231200
Wellington,486700
Nelson-Tasman,97580
Marlborough,44700
West Coast,33000
Canterbury,562900
Otago,208800
Southland,96000
