Month,Property type,Location,Measure,Value,Value Unit,Value Label,Null Reason
2018-03,House,North Island Metro,Median sale price,570000,nzd,NZD,
2018-03,House,Other,Median sale price,400000,nzd,NZD,
2018-03,House,South Island Metro,Median sale price,390000,nzd,NZD,
2018-03,House,Wellington,Median sale price,665000,nzd,NZD,
2018-03,Apartment,Auckland,Median sale price,631500,nzd,NZD,
2018-03,Apartment,Christchurch,Median sale price,357500,nzd,NZD,
2018-03,Apartment,North Island Metro,Median sale price,423000,nzd,NZD,
2018-03,Apartment,Other,Median sale price,311507,nzd,NZD,
2018-03,Apartment,South Island Metro,Median sale price,287500,nzd,NZD,
2018-03,Apartment,Wellington,Median sale price,441000,nzd,NZD,
2018-04,House,Auckland,Median sale price,898000,nzd,NZD,
2018-04,House,Christchurch,Median sale price,462300,nzd,NZD,
2018-04,House,North Island Metro,Median sale price,554000,nzd,NZD,
2018-04,House,Other,Median sale price,408000,nzd,NZD,
2018-04,House,South Island Metro,Median sale price,380000,nzd,NZD,
2018-04,House,Wellington,Median sale price,636750,nzd,NZD,
2018-04,Apartment,Auckland,Median sale price,617500,nzd,NZD,
2018-04,Apartment,Christchurch,Median sale price,366780.5,nzd,NZD,
2018-04,Apartment,North Island Metro,Median sale price,419500,nzd,NZD,
2018-04,Apartment,Other,Median sale price,304000,nzd,NZD,
2018-04,Apartment,South Island Metro,Median sale price,332000,nzd,NZD,
2018-04,Apartment,Wellington,Median sale price,385500,nzd,NZD,
2018-05,House,Auckland,Median sale price,925000,nzd,NZD,
2018-05,House,Christchurch,Median sale price,457500,nzd,NZD,
2018-05,House,North Island Metro,Median sale price,560000,nzd,NZD,
2018-05,House,Other,Median sale price,399874.5,nzd,NZD,
2018-05,House,South Island Metro,Median sale price,360000,nzd,NZD,
2018-05,House,Wellington,Median sale price,615000,nzd,NZD,
2018-05,Apartment,Auckland,Median sale price,615000,nzd,NZD,
2018-05,Apartment,Christchurch,Median sale price,347500,nzd,NZD,
2018-05,Apartment,North Island Metro,Median sale price,391000,nzd,NZD,
2018-05,Apartment,Other,Median sale price,306750,nzd,NZD,
2018-05,Apartment,South Island Metro,Median sale price,295800,nzd,NZD,
2018-05,Apartment,Wellington,Median sale price,452750,nzd,NZD,
2018-06,House,Auckland,Median sale price,909750,nzd,NZD,
2018-06,House,Christchurch,Median sale price,450000,nzd,NZD,
2018-06,House,North Island Metro,Median sale price,575000,nzd,NZD,
2018-06,House,Other,Median sale price,393000,nzd,NZD,
2018-06,House,South Island Metro,Median sale price,400100,nzd,NZD,
2018-06,House,Wellington,Median sale price,647500,nzd,NZD,
2018-06,Apartment,Auckland,Median sale price,655000,nzd,NZD,
2018-06,Apartment,Christchurch,Median sale price,343000,nzd,NZD,
2018-06,Apartment,North Island Metro,Median sale price,429000,nzd,NZD,
2018-06,Apartment,Other,Median sale price,288188.5,nzd,NZD,
2018-06,Apartment,South Island Metro,Median sale price,230000,nzd,NZD,
2018-06,Apartment,Wellington,Median sale price,406500,nzd,NZD,
